Fecha_Hora,Antena,Mision,Tipo_Senal,Banda,Potencia,Data_Rate_kbps
2026-04-03 22:46:37,DSS26,SOHO,Downlink,S,-120,245.8
2026-04-03 22:46:37,DSS26,SOHO,Uplink,X,0.1,N/A
2026-04-03 22:46:37,DSS55,ESCB,Uplink,X,0.2,N/A
2026-04-03 22:46:37,DSS63,JNO,Downlink,X,-130,152.8
2026-04-03 22:46:37,DSS63,JNO,Uplink,X,17,N/A
2026-04-03 22:46:37,DSS43,EM2,Downlink,S,-99,4000.0
2026-04-03 22:46:37,DSS43,EM2,Downlink,S,-99,4000.0
2026-04-03 22:46:37,DSS34,EM2,Downlink,S,-100,4000.0
2026-04-03 22:46:37,DSS34,EM2,Downlink,S,-100,4000.0
2026-04-03 22:46:37,DSS34,EM2,Uplink,S,0.2,N/A
2026-04-04 01:44:17,DSS25,JNO,Downlink,X,-130,30.22
2026-04-04 01:44:17,DSS25,JNO,Uplink,X,18,N/A
2026-04-04 01:44:17,DSS55,ESCB,Downlink,X,-130,8.0
2026-04-04 01:44:17,DSS55,ESCB,Uplink,X,0.2,N/A
2026-04-04 01:44:17,DSS34,EM2,Downlink,S,-110,2000.0
2026-04-04 01:44:17,DSS34,EM2,Downlink,S,-110,2000.0
2026-04-04 02:33:18,DSS25,JNO,Downlink,X,-130,30.22
2026-04-04 02:33:18,DSS25,JNO,Uplink,X,18,N/A
2026-04-04 02:33:18,DSS26,BIOS,Downlink,X,-140,8.013
2026-04-04 02:33:18,DSS26,BIOS,Uplink,X,20,N/A
2026-04-04 02:33:18,DSS55,ESCB,Downlink,X,-130,8.0
2026-04-04 02:33:18,DSS55,ESCB,Uplink,X,0.2,N/A
2026-04-04 02:33:18,DSS54,EM2,Downlink,S,-100,2000.0
2026-04-04 02:33:18,DSS54,EM2,Downlink,S,-100,2000.0
2026-04-04 02:33:18,DSS56,EM2,Downlink,S,-100,2000.0
2026-04-04 02:33:18,DSS56,EM2,Downlink,S,-100,2000.0
2026-04-04 02:33:18,DSS63,VGR1,Downlink,X,-160,0.16
2026-04-04 14:04:04,DSS24,EM2,Downlink,S,-110,3000.0
2026-04-04 14:04:04,DSS24,EM2,Downlink,S,-110,3000.0
2026-04-04 14:04:04,DSS26,EM2,Downlink,S,-110,3000.0
2026-04-04 14:04:04,DSS26,EM2,Downlink,S,-110,3000.0
2026-04-04 14:04:04,DSS26,EM2,Uplink,S,0.2,N/A
2026-04-04 14:04:04,DSS25,ORX,Downlink,X,-140,0.0
2026-04-04 14:04:04,DSS55,M01O,Downlink,X,-130,14.22
2026-04-04 14:04:04,DSS55,MSL,Downlink,X,-150,0.176
2026-04-04 14:04:04,DSS55,MSL,Uplink,X,11,N/A
2026-04-04 14:04:04,DSS54,STA,Downlink,X,-120,480.0
2026-04-04 14:04:04,DSS54,STA,Uplink,X,10,N/A
2026-04-04 14:04:04,DSS56,ACE,Downlink,S,-110,87.65
2026-04-04 14:04:04,DSS56,ACE,Downlink,S,-110,87.65
2026-04-04 14:04:04,DSS56,ACE,Uplink,S,0.3,N/A
2026-04-04 14:04:04,DSS34,XMM,Downlink,S,-120,80.66
2026-04-04 14:04:04,DSS34,XMM,Uplink,S,0.2,N/A
2026-04-04 14:04:04,DSS43,JNO,Downlink,X,-130,152.8
2026-04-04 14:05:15,DSS24,EM2,Downlink,S,-110,3000.0
2026-04-04 14:05:15,DSS24,EM2,Downlink,S,-110,3000.0
2026-04-04 14:05:15,DSS26,EM2,Downlink,S,-110,3000.0
2026-04-04 14:05:15,DSS26,EM2,Downlink,S,-110,3000.0
2026-04-04 14:05:15,DSS26,EM2,Uplink,S,0.2,N/A
2026-04-04 14:05:15,DSS25,ORX,Downlink,X,-140,0.0
2026-04-04 14:05:15,DSS25,ORX,Uplink,X,19,N/A
2026-04-04 14:05:15,DSS55,M01O,Downlink,X,-130,14.22
2026-04-04 14:05:15,DSS55,MSL,Downlink,X,-150,0.176
2026-04-04 14:05:15,DSS55,MSL,Uplink,X,11,N/A
2026-04-04 14:05:15,DSS54,STA,Downlink,X,-120,480.0
2026-04-04 14:05:15,DSS54,STA,Uplink,X,10,N/A
2026-04-04 14:05:15,DSS56,ACE,Downlink,S,-110,87.65
2026-04-04 14:05:15,DSS56,ACE,Downlink,S,-110,87.65
2026-04-04 14:05:15,DSS56,ACE,Uplink,S,0.3,N/A
2026-04-04 14:05:15,DSS65,SOHO,Downlink,S,-120,0.0
2026-04-04 14:05:15,DSS65,SOHO,Uplink,S,0.1,N/A
2026-04-04 14:05:15,DSS34,XMM,Downlink,S,-120,80.66
2026-04-04 14:05:15,DSS34,XMM,Uplink,S,0.2,N/A
2026-04-04 14:05:15,DSS43,JNO,Downlink,X,-130,152.8
2026-04-04 14:23:57,DSS24,EM2,Downlink,S,-110,3000.0
2026-04-04 14:23:57,DSS24,EM2,Downlink,S,-110,3000.0
2026-04-04 14:23:57,DSS26,EM2,Downlink,S,-110,3000.0
2026-04-04 14:23:57,DSS26,EM2,Downlink,S,-110,3000.0
2026-04-04 14:23:57,DSS26,EM2,Uplink,X,0.2,N/A
2026-04-04 14:23:57,DSS25,ORX,Downlink,X,-140,0.0
2026-04-04 14:23:57,DSS25,ORX,Uplink,X,19,N/A
2026-04-04 14:23:57,DSS55,M01O,Downlink,X,-130,14.22
2026-04-04 14:23:57,DSS55,MSL,Uplink,X,11,N/A
2026-04-04 14:23:57,DSS54,STA,Downlink,X,-120,480.0
2026-04-04 14:23:57,DSS54,STA,Uplink,X,10,N/A
2026-04-04 14:23:57,DSS56,ACE,Downlink,S,-110,87.65
2026-04-04 14:23:57,DSS56,ACE,Downlink,S,-110,87.65
2026-04-04 14:23:57,DSS56,ACE,Uplink,X,0.3,N/A
2026-04-04 14:23:57,DSS65,SOHO,Downlink,S,-120,245.8
2026-04-04 14:23:57,DSS65,SOHO,Uplink,S,0.1,N/A
2026-04-04 14:23:57,DSS34,XMM,Downlink,S,-120,80.66
2026-04-04 14:23:57,DSS34,XMM,Uplink,S,0.2,N/A
2026-04-04 14:34:58,DSS24,EM2,Downlink,S,-110,3000.0
2026-04-04 14:34:58,DSS24,EM2,Downlink,S,-110,3000.0
2026-04-04 14:34:58,DSS26,EM2,Downlink,S,-110,3000.0
